Mouse Cage ,Mouse Number,Tag,Strain,Diet,Week,PercBWincrease,BW_Average,Food_Mass,Food_Avg,Ingest_bymouse,Glucose,Trig,NEFA,BCAA,Insulin
17,56,RE,A/J,Mediterranean,0,26,26.8125,NA,NA,NA,119,495.6124,0.885583,0.501061,
17,57,LE,A/J,Mediterranean,0,23.8,26.8125,NA,NA,NA,107,235.7782,0.896048,0.594096,
17,58,RLE,A/J,Mediterranean,0,27.3,26.8125,NA,NA,NA,118,220.8794,0.580848,0.542569,
18,59,NT,A/J,Mediterranean,0,28,26.8125,NA,NA,NA,131,371.0588,0.879703,0.478161,
18,60,RE,A/J,Mediterranean,0,27.4,26.8125,NA,NA,NA,136,231.0106,0.533957,0.496768,
18,61,LE,A/J,Mediterranean,0,26.6,26.8125,NA,NA,NA,131,329.3423,0.968028,0.592665,
18,62,RLE,A/J,Mediterranean,0,26.6,26.8125,NA,NA,NA,106,473.5622,0.785138,0.701443,
19,63,NT,A/J,Vegetarian,0,24.3,26.0625,NA,NA,NA,121,242.9296,0.994638,0.574058,
19,64,RE,A/J,Vegetarian,0,24.7,26.0625,NA,NA,NA,127,316.2314,0.9115,0.519668,
19,65,LE,A/J,Vegetarian,0,28,26.0625,NA,NA,NA,132,360.9277,0.994347,0.584077,
19,66,RLE,A/J,Vegetarian,0,23.2,26.0625,NA,NA,NA,116,180.9508,0.79169,0.472435,
20,67,NT,A/J,Vegetarian,0,28.3,26.0625,NA,NA,NA,116,351.9884,0.712599,0.442378,
20,68,RE,A/J,Vegetarian,0,26,26.0625,NA,NA,NA,130,443.1688,0.965725,0.53255,
20,69,LE,A/J,Vegetarian,0,26.3,26.0625,NA,NA,NA,132,219.6875,0.533174,0.459554,
20,70,RLE,A/J,Vegetarian,0,27.7,26.0625,NA,NA,NA,99,248.8891,0.831067,0.45526,
21,71,NT,A/J,Vegan,0,25.9,26.0125,NA,NA,NA,135,191.0819,0.752044,0.412321,
21,72,RE,A/J,Vegan,0,26.9,26.0125,NA,NA,NA,99,472.3703,1.240095,0.59839,
21,73,LE,A/J,Vegan,0,28.9,26.0125,NA,NA,NA,127,363.3115,0.962796,0.386557,
21,74,RLE,A/J,Vegan,0,25.8,26.0125,NA,NA,NA,103,214.324,0.840526,0.536844,
22,75,NT,A/J,Vegan,0,26,26.0125,NA,NA,NA,115,343.6451,0.691535,0.63131,
22,76,RE,A/J,Vegan,0,27.4,26.0125,NA,NA,NA,125,463.4311,0.858862,0.684268,
22,77,LE,A/J,Vegan,0,24.9,26.0125,NA,NA,NA,110,457.4716,0.673825,0.611272,
22,78,RLE,A/J,Vegan,0,22.3,26.0125,NA,NA,NA,118,241.7377,0.747773,0.412321,
23,79,NT,DBA/2J,Chow,0,32,29.8,NA,NA,NA,119,577.9916,NA,1.043867244,3.12
23,80,RE,DBA/2J,Chow,0,28.7,29.8,NA,NA,NA,122,513.741,NA,0.963059163,2.14
23,81,LE,DBA/2J,Chow,0,29.1,29.8,NA,NA,NA,117,446.3815,NA,1.245887446,1.82
24,82,NT,DBA/2J,Chow,0,32.9,29.8,NA,NA,NA,132,392.4939,NA,1.087157287,4.26
24,83,RE,DBA/2J,Chow,0,22.2,29.8,NA,NA,NA,115,392.4939,NA,0.853391053,1.34
24,84,LE,DBA/2J,Chow,0,35.3,29.8,NA,NA,NA,125,334.4611,NA,0.916883117,9.22
24,85,RLE,DBA/2J,Chow,0,28.4,29.8,NA,NA,NA,99,460.8897,NA,1.003463203,1.85
25,86,NT,DBA/2J,American,0,32.2,31.0375,NA,NA,NA,123,613.2258,NA,1.569119769,4.71
25,87,RE,DBA/2J,American,0,34.8,31.0375,NA,NA,NA,113,745.8722,NA,1.323809524,5.77
25,88,LE,DBA/2J,American,0,32.1,31.0375,NA,NA,NA,96,489.9061,NA,1.228571429,4.17
25,89,RLE,DBA/2J,American,0,27.5,31.0375,NA,NA,NA,112,598.7176,NA,0.957287157,4.47
26,90,NT,DBA/2J,American,0,31.7,31.0375,NA,NA,NA,117,583.1731,NA,0.824531025,2.45
26,91,RE,DBA/2J,American,0,30.3,31.0375,NA,NA,NA,104,555.193,NA,1.121789322,2.4
27,92,NT,DBA/2J,American,0,29.8,31.0375,NA,NA,NA,119,501.3054,NA,1.407503608,5.69
27,93,RE,DBA/2J,American,0,29.9,31.0375,NA,NA,NA,103,589.3909,NA,1.312265512,3.58
28,94,NT,DBA/2J,Mediterranean,0,25.1,29.95,NA,NA,NA,118,735.5092,NA,1.358441558,6.21
28,95,RE,DBA/2J,Mediterranean,0,26.4,29.95,NA,NA,NA,116,655.7141,NA,1.084271284,2.36
28,96,LE,DBA/2J,Mediterranean,0,28.5,29.95,NA,NA,NA,102,607.008,NA,1.271861472,2.24
28,97,RLE,DBA/2J,Mediterranean,0,31.7,29.95,NA,NA,NA,109,680.5853,NA,1.055411255,2.6
29,98,NT,DBA/2J,Mediterranean,0,35,29.95,NA,NA,NA,115,757.2715,NA,1.1997114,4.2
29,99,RE,DBA/2J,Mediterranean,0,32.3,29.95,NA,NA,NA,125,670.2223,NA,0.853391053,3.18
29,100,LE,DBA/2J,Mediterranean,0,30.3,29.95,NA,NA,NA,107,774.8886,NA,1.381529582,2.25
29,101,RLE,DBA/2J,Mediterranean,0,30.3,29.95,NA,NA,NA,153,437.0548,NA,1.306493506,2.26
30,102,NT,DBA/2J,Vegetarian,0,30.4,30.75,NA,NA,NA,101,608.0443,NA,1.621067821,3.19
30,103,RE,DBA/2J,Vegetarian,0,26.6,30.75,NA,NA,NA,117,799.7598,NA,1.456565657,3.89
30,104,LE,DBA/2J,Vegetarian,0,27,30.75,NA,NA,NA,110,456.7445,NA,0.989033189,1.71
30,105,RLE,DBA/2J,Vegetarian,0,32.8,30.75,NA,NA,NA,106,553.1204,NA,1.072727273,6.46
31,106,NT,DBA/2J,Vegetarian,0,32,30.75,NA,NA,NA,123,660.8956,NA,1.60952381,8.26
31,107,RE,DBA/2J,Vegetarian,0,32.5,30.75,NA,NA,NA,114,853.6474,NA,1.398845599,7.36
31,108,LE,DBA/2J,Vegetarian,0,29.3,30.75,NA,NA,NA,121,548.9752,NA,0.942857143,3.06
31,109,RLE,DBA/2J,Vegetarian,0,35.4,30.75,NA,NA,NA,111,591.4635,NA,1.90966811,12.17
32,110,NT,DBA/2J,Vegan,0,31.4,30.6375,NA,NA,NA,140,537.5759,NA,1.092929293,3.53
32,111,RE,DBA/2J,Vegan,0,34,30.6375,NA,NA,NA,118,669.186,NA,1.488311688,4.26
